	run	hidden_size	nlayers	dropout	embedding_size	alpha	max_rank	shuffle_labels	shuffle_input	train_loss	dev_loss	test_loss	train_acc	dev_acc	test_acc	train_norm	dev_norm	test_norm	train_rank	dev_rank	test_rank	representation	model	language	n_train	n_test	entropy	entropy_conditional	n_classes
28	28	268	4	0.37	300	0.15523222650918542	10	False	False	3.7651	3.7641	3.7707	0.1705	0.1677	0.1654	1.1076	1.1076	1.1076	6.0	6.0	6.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
29	29	270	0	0.04	300	0.1872883846095852	10	False	False	3.816	3.8154	3.8202	0.1705	0.1677	0.1654	0.8103	0.8103	0.8103	6.0	6.0	6.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
30	30	596	0	0.43	300	0.22596428459777515	10	False	False	3.8888	3.8886	3.8913	0.1705	0.1677	0.1654	0.4583	0.4583	0.4583	8.0	8.0	8.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
31	31	694	3	0.18	300	0.2726269331663144	11	False	False	3.9633	3.9632	3.964	0.1705	0.1677	0.1654	0.159	0.159	0.159	13.0	13.0	13.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
32	32	837	4	0.09	300	0.32892563008340914	11	False	False	3.9801	3.9801	3.9805	0.1705	0.1677	0.1654	0.0952	0.0952	0.0952	13.0	13.0	13.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
33	33	487	0	0.14	300	0.3968502629920497	11	False	False	3.9927	3.9927	3.9929	0.1705	0.1677	0.1654	0.0487	0.0487	0.0487	13.0	13.0	13.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
34	34	418	5	0.37	300	0.4788016403492869	12	False	False	3.9996	3.9996	3.9996	0.1693	0.1728	0.173	0.0234	0.0234	0.0234	13.0	13.0	13.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
35	35	407	5	0.35000000000000003	300	0.577676348436136	12	False	False	3.9993	3.9993	3.9993	0.1705	0.1677	0.1654	0.0242	0.0242	0.0242	13.0	13.0	13.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
36	36	657	2	0.11	300	0.6969691317244994	12	False	False	3.9997	3.9997	3.9997	0.1647	0.162	0.1599	0.0237	0.0237	0.0237	13.0	13.0	13.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
37	37	442	1	0.41	300	0.8408964152537145	13	False	False	3.9997	3.9997	3.9997	0.2394	0.2388	0.2344	0.0237	0.0237	0.0237	12.0	12.0	12.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
38	38	398	4	0.23	300	1.0145453349375229	13	False	False	3.9997	3.9997	3.9997	0.1645	0.1626	0.1595	0.0238	0.0238	0.0238	13.0	13.0	13.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
39	39	369	4	0.29	300	1.2240535433046549	13	False	False	3.9999	3.9999	3.9999	0.1344	0.1315	0.1286	0.023	0.023	0.023	13.0	13.0	13.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
40	40	75	4	0.33	300	1.4768261459394991	14	False	False	3.9999	3.9999	3.9999	0.0972	0.0943	0.0924	0.0149	0.0149	0.0149	6.0	6.0	6.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
41	41	179	0	0.02	300	1.7817974362806772	14	False	False	3.9999	3.9999	3.9999	0.1679	0.1681	0.1634	0.0144	0.0144	0.0144	5.0	5.0	5.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
42	42	442	4	0.19	300	2.1497466798413916	14	False	False	3.9999	3.9999	3.9999	0.1181	0.1149	0.1146	0.0232	0.0232	0.0232	13.0	13.0	13.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
43	43	111	1	0.22	300	2.5936791093020197	15	False	False	3.9999	3.9999	3.9999	0.0426	0.04	0.0423	0.0229	0.0229	0.0229	11.0	11.0	11.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
44	44	242	1	0.45	300	3.1292855968155457	15	False	False	3.9999	3.9999	3.9999	0.1161	0.1206	0.1123	0.0146	0.0146	0.0146	5.0	5.0	5.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
45	45	107	3	0.21	300	3.775497250726772	15	False	False	3.9999	3.9999	3.9999	0.1225	0.1293	0.1283	0.0145	0.0145	0.0145	5.0	5.0	5.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
46	46	150	2	0.2	300	4.555154539026766	16	False	False	4.0	4.0	4.0	0.1681	0.1707	0.1711	0.0139	0.0139	0.0139	3.0	3.0	3.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
47	47	38	1	0.2	300	5.495814589832351	16	False	False	3.9999	3.9999	3.9999	0.1226	0.1227	0.1172	0.0142	0.0142	0.0142	5.0	5.0	5.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
48	48	248	1	0.49	300	6.6307252030723465	16	False	False	4.0	4.0	4.0	0.0348	0.0329	0.0351	0.0233	0.0233	0.0233	12.0	12.0	12.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
49	49	670	0	0.45	300	8.0	16	False	False	4.0	4.0	4.0	0.1212	0.1146	0.1146	0.0143	0.0143	0.0143	5.0	5.0	5.0	fast	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
0	0	776	0	0.15	212	0.0	1	False	False	0.2966	0.6454	0.6479	0.9238	0.8541	0.852	187.3014	187.3014	187.3014	16.0	16.0	16.0	onehot	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
1	1	433	2	0.27	103	0.0009765625	1	False	False	0.2773	0.6433	0.6598	0.9245	0.8533	0.8511	113.1534	113.1534	113.1534	16.0	16.0	16.0	onehot	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
2	2	310	5	0.5	113	0.0011782270808598852	1	False	False	0.2901	0.627	0.6339	0.9241	0.8544	0.8528	117.8564	117.8564	117.8564	16.0	16.0	16.0	onehot	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
3	3	300	1	0.44	99	0.001421536311369323	1	False	False	0.2974	0.6335	0.6401	0.924	0.8549	0.8526	112.1575	112.1575	112.1575	16.0	16.0	16.0	onehot	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
4	4	1009	2	0.1	148	0.0017150900003645502	2	False	False	0.2928	0.6369	0.6412	0.9245	0.8537	0.8526	102.1683	102.1683	102.1683	15.0	15.0	15.0	onehot	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
5	5	657	3	0.5	165	0.0020692638561704995	2	False	False	0.3027	0.6203	0.6235	0.9241	0.8575	0.855	96.6316	96.6316	96.6316	16.0	16.0	16.0	onehot	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
6	6	455	2	0.49	60	0.0024965762178914648	2	False	False	0.3176	0.6462	0.6591	0.9233	0.8515	0.8511	91.9272	91.9272	91.9272	15.0	15.0	15.0	onehot	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
7	7	103	1	0.44	84	0.0030121305183748843	3	False	False	0.3289	0.6454	0.6507	0.9233	0.8544	0.8537	89.2851	89.2851	89.2851	16.0	16.0	16.0	onehot	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
8	8	203	4	0.05	238	0.0036341491177818244	3	False	False	0.3288	0.639	0.6449	0.9242	0.8546	0.8547	80.4374	80.4374	80.4374	15.0	15.0	15.0	onehot	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
9	9	150	4	0.02	122	0.004384617376208487	3	False	False	0.3419	0.6617	0.6668	0.9242	0.8543	0.8532	74.4603	74.4603	74.4603	12.0	12.0	12.0	onehot	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
10	10	72	3	0.23	144	0.005290060730222237	4	False	False	0.3577	0.6625	0.67	0.9239	0.8565	0.8556	67.9559	67.9559	67.9559	14.0	14.0	14.0	onehot	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
11	11	467	3	0.31	79	0.006382482239223045	4	False	False	0.379	0.6802	0.6971	0.9231	0.8544	0.8522	64.8414	64.8414	64.8414	12.0	12.0	12.0	onehot	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
12	12	377	0	0.37	159	0.007700493739376463	4	False	False	0.4025	0.6823	0.697	0.923	0.8554	0.855	60.0311	60.0311	60.0311	14.0	14.0	14.0	onehot	linear	english	203762	24958	3.6073581600204347	0.260796592910321	16
