	run	hidden_size	nlayers	dropout	embedding_size	alpha	max_rank	shuffle_labels	shuffle_input	train_loss	dev_loss	test_loss	train_acc	dev_acc	test_acc	train_norm	dev_norm	test_norm	train_rank	dev_rank	test_rank	representation	model	language
10	10	72	3	0.23	768	0.005290060730222237	0	False	False	3.147	2.8575	2.8516	0.3768	0.4117	0.4321	69.9987	69.9987	69.9987	650.0	650.0	650.0	bert	linear	english
11	11	467	3	0.31	768	0.006382482239223045	0	False	False	3.252	2.9555	2.95	0.3545	0.3894	0.4048	54.5085	54.5085	54.5085	650.0	650.0	650.0	bert	linear	english
12	12	377	0	0.37	768	0.007700493739376463	0	False	False	3.3414	3.0334	3.0286	0.3416	0.3867	0.3944	44.3655	44.3655	44.3655	650.0	650.0	650.0	bert	linear	english
13	13	436	2	0.25	768	0.009290680585958758	0	False	False	3.3851	3.0735	3.072	0.3247	0.3732	0.3775	38.3565	38.3565	38.3565	648.0	648.0	648.0	bert	linear	english
14	14	382	2	0.41	768	0.011209248221179687	0	False	False	3.548	3.221	3.2228	0.2927	0.3442	0.3446	27.3135	27.3135	27.3135	651.0	651.0	651.0	bert	linear	english
15	15	326	3	0.09	768	0.01352400876572098	0	False	False	3.5474	3.222	3.2279	0.2802	0.329	0.3333	27.5783	27.5783	27.5783	647.0	647.0	647.0	bert	linear	english
16	16	326	2	0.02	768	0.01631677785042834	0	False	False	3.5754	3.2484	3.2537	0.2773	0.3276	0.3299	25.8717	25.8717	25.8717	649.0	649.0	649.0	bert	linear	english
17	17	247	2	0.15	768	0.01968626640460739	0	False	False	3.6377	3.3061	3.3099	0.2755	0.3241	0.3275	22.629	22.629	22.629	657.0	657.0	657.0	bert	linear	english
18	18	179	1	0.01	768	0.02375156961170491	0	False	False	3.6736	3.34	3.3436	0.2725	0.3209	0.3228	21.1654	21.1654	21.1654	656.0	656.0	656.0	bert	linear	english
19	19	137	5	0.3	768	0.028656376350145975	0	False	False	3.7645	3.4231	3.4252	0.2739	0.3265	0.3267	17.4623	17.4623	17.4623	658.0	658.0	658.0	bert	linear	english
20	20	786	2	0.24	768	0.03457404790277603	0	False	False	3.846	3.4972	3.5001	0.2668	0.3145	0.3157	15.7179	15.7179	15.7179	665.0	665.0	665.0	bert	linear	english
21	21	410	1	0.49	768	0.04171374544281356	0	False	False	3.9822	3.625	3.6288	0.2637	0.3114	0.3136	12.3989	12.3989	12.3989	666.0	666.0	666.0	bert	linear	english
22	22	388	0	0.48	768	0.0503278228734142	0	False	False	4.102	3.7358	3.741	0.2585	0.3007	0.3009	10.2529	10.2529	10.2529	666.0	666.0	666.0	bert	linear	english
23	23	38	2	0.4	768	0.06072074632210035	0	False	False	4.2557	3.8782	3.886	0.2524	0.2953	0.2934	8.2289	8.2289	8.2289	680.0	680.0	680.0	bert	linear	english
24	24	467	2	0.11	768	0.07325985555120318	0	False	False	4.4157	4.0482	4.0617	0.2459	0.2887	0.2818	9.1123	9.1123	9.1123	685.0	685.0	685.0	bert	linear	english
25	25	176	4	0.05	768	0.08838834764831845	0	False	False	4.6039	4.2206	4.2373	0.2411	0.2841	0.2773	7.9467	7.9467	7.9467	683.0	683.0	683.0	bert	linear	english
26	26	57	4	0.0	768	0.10664094190766783	0	False	False	4.5425	4.1451	4.1551	0.2803	0.3216	0.3322	3.46	3.46	3.46	698.0	698.0	698.0	bert	linear	english
27	27	968	3	0.22	768	0.12866277958043645	0	False	False	4.5342	4.1342	4.1437	0.272	0.3103	0.3269	3.4775	3.4775	3.4775	711.0	711.0	711.0	bert	linear	english
