	run	hidden_size	nlayers	dropout	embedding_size	alpha	max_rank	shuffle_labels	shuffle_input	train_loss	dev_loss	test_loss	train_acc	dev_acc	test_acc	train_norm	dev_norm	test_norm	train_rank	dev_rank	test_rank	representation	model	language	n_train	n_test	entropy	entropy_conditional	n_classes
44	44	242	1	0.45	768	3.1292855968155457	44	False	False	5.5849	5.5849	5.5849	0.0594	0.0588	0.0551	0.0767	0.0767	0.0767	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
45	45	107	3	0.21	768	3.775497250726772	45	False	False	5.5849	5.5849	5.5849	0.0909	0.0871	0.0857	0.105	0.105	0.105	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
46	46	150	2	0.2	768	4.555154539026766	46	False	False	5.5849	5.5849	5.5849	0.0856	0.0836	0.0798	0.0781	0.0781	0.0781	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
47	47	38	1	0.2	768	5.495814589832351	47	False	False	5.5849	5.5849	5.5849	0.1128	0.1164	0.1165	0.0831	0.0831	0.0831	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
48	48	248	1	0.49	768	6.6307252030723465	48	False	False	5.5849	5.5849	5.5849	0.0428	0.0441	0.0424	0.104	0.104	0.104	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
49	49	670	0	0.45	768	8.0	48	False	False	5.5849	5.5849	5.5849	0.0279	0.0277	0.0288	0.0764	0.0764	0.0764	48.0	48.0	48.0	bert	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
0	0	776	0	0.15	300	0.0	1	False	False	1.062	1.2057	1.1969	0.7735	0.7531	0.7565	2113.4617	2113.4617	2113.4617	48.0	48.0	48.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
1	1	433	2	0.27	300	0.0009765625	1	False	False	1.4413	1.4868	1.4677	0.7189	0.7114	0.7171	440.6024	440.6024	440.6024	48.0	48.0	48.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
2	2	310	5	0.5	300	0.0011782270808598852	2	False	False	1.5804	1.6193	1.5989	0.6976	0.6933	0.6999	367.7107	367.7107	367.7107	48.0	48.0	48.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
3	3	300	1	0.44	300	0.001421536311369323	3	False	False	1.6079	1.6451	1.6269	0.6957	0.6918	0.6974	339.0391	339.0391	339.0391	48.0	48.0	48.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
4	4	1009	2	0.1	300	0.0017150900003645502	4	False	False	1.5712	1.6078	1.5951	0.7037	0.6993	0.7043	327.5253	327.5253	327.5253	48.0	48.0	48.0	fast	linear	english	192042	23019	4.4818914727708945	1.0055802713083695	48
